,skill force,coin count,coin force,coin probability,skill force_foreign,coin count_foreign,coin force_foreign,coin probability_foreign,win rate
0,3,1,7,0.3564356435643564,3,1,7,0.2376237623762376,0.7
1,3,1,7,0.1188118811881188,3,1,7,0.5841584158415841,0.1
2,3,1,7,0.039603960396039604,3,1,7,0.5148514851485149,0.0
3,3,1,7,0.7524752475247525,3,1,7,0.10891089108910891,1.0
4,3,1,7,0.6831683168316832,3,1,7,0.7920792079207921,0.4
5,3,1,7,0.7722772277227723,3,1,7,0.7128712871287128,0.7
6,3,1,7,0.1188118811881188,3,1,7,0.10891089108910891,0.6
7,3,1,7,0.7425742574257426,3,1,7,0.0297029702970297,1.0
8,3,1,7,0.9702970297029703,3,1,7,0.9405940594059407,0.8
9,3,1,7,0.8712871287128713,3,1,7,0.6336633663366337,0.9
10,3,1,7,0.9405940594059407,3,1,7,0.7326732673267327,1.0
11,3,1,7,0.4752475247524752,3,1,7,0.3069306930693069,0.3
12,3,1,7,0.2376237623762376,3,1,7,0.18811881188118812,0.6
13,3,1,7,0.33663366336633666,3,1,7,0.44554455445544555,0.6
14,3,1,7,0.49504950495049505,3,1,7,0.0891089108910891,1.0
15,3,1,7,0.5742574257425742,3,1,7,0.25742574257425743,0.8
16,3,1,7,0.48514851485148514,3,1,7,0.34653465346534656,0.6
17,3,1,7,0.5148514851485149,3,1,7,0.48514851485148514,0.5
18,3,1,7,0.8118811881188119,3,1,7,0.9504950495049505,0.1
19,3,1,7,0.24752475247524752,3,1,7,0.44554455445544555,0.3
20,3,1,7,0.5742574257425742,3,1,7,0.8217821782178218,0.4
21,3,1,7,0.27722772277227725,3,1,7,0.5742574257425742,0.2
22,3,1,7,0.7425742574257426,3,1,7,0.12871287128712872,0.9
23,3,1,7,0.07920792079207921,3,1,7,0.039603960396039604,0.6
24,3,1,7,0.06930693069306931,3,1,7,0.8118811881188119,0.0
25,3,1,7,0.2871287128712871,3,1,7,0.9405940594059407,0.0
26,3,1,7,0.594059405940594,3,1,7,0.36633663366336633,0.7
27,3,1,7,0.8811881188118812,3,1,7,0.07920792079207921,1.0
28,3,1,7,0.8811881188118812,3,1,7,0.16831683168316833,1.0
29,3,1,7,0.8415841584158416,3,1,7,0.8712871287128713,0.4
30,3,1,7,0.8217821782178218,3,1,7,0.7425742574257426,0.7
31,3,1,7,0.8613861386138614,3,1,7,0.9504950495049505,0.4
32,3,1,7,0.19801980198019803,3,1,7,0.039603960396039604,0.9
33,3,1,7,0.8217821782178218,3,1,7,0.6237623762376238,0.8
34,3,1,7,0.04950495049504951,3,1,7,0.5544554455445545,0.0
35,3,1,7,0.8910891089108911,3,1,7,0.6138613861386139,0.8
36,3,1,7,0.42574257425742573,3,1,7,0.4158415841584158,0.3
37,3,1,7,0.21782178217821782,3,1,7,0.5148514851485149,0.2
38,3,1,7,0.504950495049505,3,1,7,0.26732673267326734,0.4
39,3,1,7,0.37623762376237624,3,1,7,0.7425742574257426,0.1
40,3,1,7,0.9801980198019802,3,1,7,0.9801980198019802,0.2
41,3,1,7,0.9603960396039604,3,1,7,0.801980198019802,1.0
42,3,1,7,0.0891089108910891,3,1,7,0.07920792079207921,0.4
43,3,1,7,0.1782178217821782,3,1,7,0.8712871287128713,0.1
44,3,1,7,0.7524752475247525,3,1,7,0.9207920792079208,0.4
45,3,1,7,0.13861386138613863,3,1,7,0.6138613861386139,0.3
46,3,1,7,0.7821782178217822,3,1,7,0.44554455445544555,0.7
47,3,1,7,0.8811881188118812,3,1,7,0.24752475247524752,1.0
48,3,1,7,0.9801980198019802,3,1,7,0.16831683168316833,1.0
49,3,1,7,0.46534653465346537,3,1,7,0.7722772277227723,0.3
50,3,1,7,0.15841584158415842,3,1,7,0.5247524752475248,0.3
51,3,1,7,0.9801980198019802,3,1,7,0.8514851485148515,0.8
52,3,1,7,0.2376237623762376,3,1,7,0.3069306930693069,0.3
53,3,1,7,0.12871287128712872,3,1,7,0.504950495049505,0.2
54,3,1,7,0.7821782178217822,3,1,7,0.4752475247524752,0.9
55,3,1,7,0.07920792079207921,3,1,7,0.43564356435643564,0.0
56,3,1,7,0.09900990099009901,3,1,7,0.40594059405940597,0.0
57,3,1,7,0.6930693069306931,3,1,7,0.7128712871287128,0.4
58,3,1,7,0.15841584158415842,3,1,7,0.8910891089108911,0.0
59,3,1,7,0.8316831683168316,3,1,7,0.5148514851485149,0.9
60,3,1,7,0.36633663366336633,3,1,7,0.18811881188118812,0.6
61,3,1,7,0.9405940594059407,3,1,7,0.594059405940594,1.0
62,3,1,7,0.801980198019802,3,1,7,0.9108910891089109,0.4
63,3,1,7,0.8613861386138614,3,1,7,0.16831683168316833,0.9
64,3,1,7,0.2871287128712871,3,1,7,0.12871287128712872,0.6
65,3,1,7,0.45544554455445546,3,1,7,0.5841584158415841,0.2
66,3,1,7,0.7623762376237624,3,1,7,0.43564356435643564,0.8
67,3,1,7,0.2871287128712871,3,1,7,0.09900990099009901,0.9
68,3,1,7,0.32673267326732675,3,1,7,0.3564356435643564,0.2
69,3,1,7,0.900990099009901,3,1,7,0.42574257425742573,1.0
70,3,1,7,0.8910891089108911,3,1,7,0.4752475247524752,0.9
71,3,1,7,0.5643564356435644,3,1,7,0.46534653465346537,0.7
72,3,1,7,0.8811881188118812,3,1,7,0.3069306930693069,1.0
73,3,1,7,0.8415841584158416,3,1,7,0.039603960396039604,1.0
74,3,1,7,0.49504950495049505,3,1,7,0.34653465346534656,0.7
75,3,1,7,0.09900990099009901,3,1,7,0.8316831683168316,0.0
76,3,1,7,0.7524752475247525,3,1,7,0.5742574257425742,0.9
77,3,1,7,0.7623762376237624,3,1,7,0.9405940594059407,0.1
78,3,1,7,0.8316831683168316,3,1,7,0.2871287128712871,1.0
79,3,1,7,0.9108910891089109,3,1,7,0.37623762376237624,1.0
80,3,1,7,0.8415841584158416,3,1,7,0.7623762376237624,0.6
81,3,1,7,0.9108910891089109,3,1,7,0.0891089108910891,1.0
82,3,1,7,0.49504950495049505,3,1,7,0.36633663366336633,0.5
83,3,1,7,0.43564356435643564,3,1,7,0.7425742574257426,0.3
84,3,1,7,0.7920792079207921,3,1,7,0.7326732673267327,0.5
85,3,1,7,0.04950495049504951,3,1,7,0.40594059405940597,0.0
86,3,1,7,0.3564356435643564,3,1,7,0.9603960396039604,0.0
87,3,1,7,0.21782178217821782,3,1,7,0.6930693069306931,0.2
88,3,1,7,0.8415841584158416,3,1,7,0.8118811881188119,0.5
89,3,1,7,0.504950495049505,3,1,7,0.36633663366336633,0.5
90,3,1,7,0.7524752475247525,3,1,7,0.13861386138613863,0.9
91,3,1,7,0.2871287128712871,3,1,7,0.5742574257425742,0.0
92,3,1,7,0.9603960396039604,3,1,7,0.8613861386138614,0.6
93,3,1,7,0.7920792079207921,3,1,7,0.2376237623762376,1.0
94,3,1,7,0.26732673267326734,3,1,7,0.04950495049504951,0.8
95,3,1,7,0.297029702970297,3,1,7,0.3069306930693069,0.4
96,3,1,7,0.7425742574257426,3,1,7,0.31683168316831684,1.0
97,3,1,7,0.1188118811881188,3,1,7,0.19801980198019803,0.6
98,3,1,7,0.7029702970297029,3,1,7,0.21782178217821782,1.0
99,3,1,7,0.1485148514851485,3,1,7,0.8712871287128713,0.0
100,3,1,7,0.24752475247524752,3,1,7,0.6633663366336634,0.4
101,3,1,7,0.6930693069306931,3,1,7,0.36633663366336633,0.9
102,3,1,7,0.7128712871287128,3,1,7,0.13861386138613863,0.8
103,3,1,7,0.3069306930693069,3,1,7,0.13861386138613863,0.8
104,3,1,7,0.900990099009901,3,1,7,0.5742574257425742,0.9
105,3,1,7,0.34653465346534656,3,1,7,0.4752475247524752,0.5
106,3,1,7,0.7128712871287128,3,1,7,0.15841584158415842,0.9
107,3,1,7,0.38613861386138615,3,1,7,0.43564356435643564,0.4
108,3,1,7,0.22772277227722773,3,1,7,0.22772277227722773,0.7
109,3,1,7,0.7722772277227723,3,1,7,0.5346534653465347,0.8
110,3,1,7,0.8415841584158416,3,1,7,0.9801980198019802,0.1
111,3,1,7,0.38613861386138615,3,1,7,0.42574257425742573,0.5
112,3,1,7,0.2079207920792079,3,1,7,0.43564356435643564,0.1
113,3,1,7,0.900990099009901,3,1,7,0.0594059405940594,1.0
114,3,1,7,0.49504950495049505,3,1,7,0.7029702970297029,0.1
115,3,1,7,0.9108910891089109,3,1,7,0.4158415841584158,0.9
116,3,1,7,0.6831683168316832,3,1,7,0.44554455445544555,0.8
117,3,1,7,0.1188118811881188,3,1,7,0.7821782178217822,0.0
118,3,1,7,0.21782178217821782,3,1,7,0.34653465346534656,0.1
119,3,1,7,0.6930693069306931,3,1,7,0.6831683168316832,0.6
120,3,1,7,0.1485148514851485,3,1,7,0.07920792079207921,0.6
121,3,1,7,0.8514851485148515,3,1,7,0.42574257425742573,0.7
122,3,1,7,0.8514851485148515,3,1,7,0.6435643564356436,0.8
123,3,1,7,0.9207920792079208,3,1,7,0.9702970297029703,0.1
124,3,1,7,0.0594059405940594,3,1,7,0.06930693069306931,0.4
125,3,1,7,0.22772277227722773,3,1,7,0.38613861386138615,0.1
126,3,1,7,0.6930693069306931,3,1,7,0.7524752475247525,0.4
127,3,1,7,0.43564356435643564,3,1,7,0.12871287128712872,0.9
128,3,1,7,0.22772277227722773,3,1,7,0.6336633663366337,0.3
129,3,1,7,0.9108910891089109,3,1,7,0.2376237623762376,1.0
130,3,1,7,0.15841584158415842,3,1,7,0.8613861386138614,0.2
131,3,1,7,0.7524752475247525,3,1,7,0.0297029702970297,1.0
132,3,1,7,0.0891089108910891,3,1,7,0.9405940594059407,0.0
133,3,1,7,0.3564356435643564,3,1,7,0.801980198019802,0.0
134,3,1,7,0.37623762376237624,3,1,7,0.33663366336633666,0.5
135,3,1,7,0.1485148514851485,3,1,7,0.6732673267326733,0.2
